      0: global: energy port connected. master: system.energy_mgmt, slave: system.cpu
      0: system.energy_mgmt: Energy Management module initialized!
      0: system.energy_mgmt: Energy profile: ./profile/energy_prof (Time unit: 1000000 ticks)
172000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1308.87
173000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1316.44
174000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1324.01
175000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1331.58
176000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1339.15
177000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1346.72
178000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1354.3
179000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1361.87
180000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1369.44
181000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1377.01
182000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1384.58
183000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1392.15
184000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1399.73
185000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1407.3
186000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1414.87
187000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1422.44
188000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1430.01
189000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1437.58
190000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1445.15
191000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1452.73
192000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1460.3
193000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1467.87
194000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1475.44
195000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1483.01
196000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1490.58
197000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1498.15
198000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1505.73
199000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1513.3
200000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1520.87
201000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1528.44
202000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1536.01
203000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1543.58
204000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1551.16
205000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1558.73
206000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1566.3
207000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1573.87
208000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1581.44
209000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1589.01
210000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1596.58
211000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1604.16
212000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1611.73
213000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1619.3
214000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1626.87
215000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1634.44
216000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1642.01
217000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1649.58
218000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1657.16
219000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1664.73
220000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1672.3
221000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1679.87
222000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1687.44
223000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1695.01
224000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1702.58
225000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1710.16
226000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1717.73
227000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1725.3
228000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1732.87
229000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1740.44
230000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1748.01
231000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1755.59
232000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1763.16
233000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1770.73
234000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1778.3
235000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1785.87
236000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1793.44
